Sl.No.,Company Name,Sector,Core Role / Others,Course,School,Profile / Designation,Job Location,UG/PG,Posting Date,Posting Month,Internship Cum PPO Offer,SS_JD,Year
11,Advi Group of Companies,IT / ITES,Data Science & Analytics,M.Sc,School of Sciences,Graduated Engineer Trainee - Data Science Specialist,Bengaluru,PG,9/23/24,September,FULLTIME,"Solid understanding of AI and machine learning concepts, algorithms, and techniques.

2.  Proficiency in Python programming language and familiarity with relevant libraries and frameworks such as TensorFlow, PyTorch, scikit-learn, etc.

3.  Strong leadership qualities and the ability to drive cross-functional teams towards common goals

4.  Understanding of AI/ML applications across various industries such as e-commerce,

5.  Eagerness to stay updated with the latest advancements in AI/ML technologies, industry best practices, and market dynamics. Analyze product design requirement

2.     Generating Ideas and developing prototypes

3.  Determining manufacturing requirements and processes

4.  Evaluate the final product and implementing feedback",2025
12,Insighte,Research and Consulting,Psychology,M.Sc,School of Sciences,Shadow Teacher,Bengaluru,PG,9/24/24,September,FULLTIME,"Strong communication skills
Creative approach
Belief in inclusion and neurodiversity
Self-starter with a willingness to learn
Methodical reporting Work with children to develop and implement learning plans and IEPs
Use the TEACCH approach to work with children with special needs
Help children reintegrate into mainstream classrooms
Bridge learning and socialization gaps to enable independence
Communicate with parents professionally and be punctual for sessions
Provide daily and monthly progress reports to the organization
Attend training, programs, and workshops
Receive supervision and training throughout the year

Follow a child's rights-based approach",2025
13,Molecular Connections,IT / ITES,Biochemistry / Chemistry,M.Sc,School of Sciences, Intern cum Patent Analyst Trainee,Bengaluru,PG,9/26/24,September,Internship," Should have strong conceptual clarity and agile
mind to quickly grasp & cope up with the complexities
involved in the research domain.
-

@ Required training would be provided by the
Company to the selected candidates after joining.
-

@ Self-starter with good interpersonal and
communication skill",2025
14,Digit General Insurance,Financial services,Data Science & Analytics,M.Sc,School of Sciences,Executive Trainee Intern,Bengaluru,PG,03-10-2024,October,Internship ," Estimation of loss Reserves for all lines of business monthly.
Contribute towards the development and maintenance of Actuarial reserving models.
Actuarial Pricing & Underwriting of all products
Stakeholder coordination for various technical & non- technical aspects of insurance
UAT, System Integration & Testing
Contribute towards production of Appointed Actuary Report, Financial Condition Report, Economic Capital
Report another regulatory requirement as part of Annual Actuarial Valuations.
Other ad hoc projects as needed",2025
15,Fidelity Health Services,Healthcare / Pharmaceutical,,M.Sc,School of Sciences,Drug Safety Executive,Bengaluru,PG,10/7/24,October,FULLTIME," Duplicate check, book-in and case management in oracle Argus Safety Database.
Check correctness of the data as per source document and procedures.
Performing Data entry and quality review of Individual Case Safety Report in Oracle Argus Safety.
Data correction of ICSRs identified while preparing signal reports, health hazard assessment reports (HHA), routine signal review, post process quality check (PPQC), and FDA adverse event reporting system (FAERS) review.
Handling literature cases.
Scientific literature case processing.
Follow up of safety case and Gererating action item in Argus.",2025
16,Digit General Insurance,Financial services,,M.Sc,School of Sciences,Executive Trainee- Senior Associate,Bengaluru,PG,10/7/24,October,FULLTIME,"Proficient in Microsoft Office suite
⧫ Intellectual curiosity, self-motivated and possess a positive attitude
⧫ Demonstrate ability to solve problems and work independently as well within the team⧫ Detail-oriented with strong organizational, interpersonal, and communication skills
⧫ Good academic record with a first-class throughout the academic year ⧫ Wants to challenge the status quo and bring a unique perspective Develop comprehensive project plans, timelines, and ensure successful project execution. ⧫ Monitor project progress, coordinate with internal stakeholders, and adjust plansasnecessary to achieve project goals. ⧫ Act as the primary point of contact for project stakeholders, providing regular updatesonproject status, milestones, and risks. ⧫ Serve as a liaison and facilitate collaboration among team members and departmentsinvolved in the project. ⧫ Ensure that projects meet quality standards and comply with regulations. ⧫ Conduct UAT and evaluate the current process to identify areas for improvement andautomation. ⧫ Play a pivotal role in the launch of new insurance products, working closely with marketingand product development teams to ensure a seamless customer experience. ⧫ Collaborate with cross-functional teams to integrate cutting-edge digital tools andplatformsinto our post-sales processes. ⧫ It will be part sales role as well wherein who will be managing institutional partners for theorganization.",2025
17,Standard Chartered Bank,BFSI/NBFC,Any Specialization,B.Sc,School of Sciences,Officer Analyst,Bengaluru,UG,09-10-2024,October,FULLTIME,"⧫Strong data literacy, analytical and judgement skills
⧫Strong problem-solving skills
⧫Ability to work in a team environment.
⧫Ability to work under pressure.
⧫Ability to collaborate, be curious and have fun.
⧫Strong multitasking and time management skills
⧫Proactive and enthusiastic self-starter
⧫Agile and well-rounded individuals
⧫Positive attitude, willingness to learn and possess a growth mindset.
⧫Passion, tenacity and resilience in an ever-changing environment
⧫Results oriented, attention to detail, and good research abilities. 
⧫Effective communication skills in English (both written & verbal)
⧫Banking: knowledge in terms of customers, products and transactions 
⧫Banking operations experience (Client Due Diligence, payments, trade, markets etc) 
⧫Proficient use of MS Office including MS Excel, Powerpoint & Word. 
⧫Coding and programming skills will be an added advantage.
Contributions to your community (e.g. volunteering) will be an added advantag ⧫Invest in helping you build the skills and capabilities needed to succeed in a career in operations. In this excellent learning environment, we’ll
⧫Provide you with domain knowledge of our products and other technical and meta-skills relevant to being a successful operation professional of the future. 
⧫Provide opportunities for you to engage with our senior leaders globally, pitch your ideas, and demonstrate your problem-solving skills. 
⧫Assign a mentor to advise you and be a sounding board to support you throughout your journey.
⧫Help you build relationships as we recognize that your network of contacts is an invaluable asset throughout your career. ",2025
18,Digit General Insurance,Financial services,Any Specialization,B.Sc,School of Sciences, Health Trainee,Bengaluru,UG,14-10-2024,October,FULLTIME, ,2025
19,PeopleHum Technologies Pvt Ltd,IT / ITES,Psychology,M.Sc,School of Sciences,Customer Success Associate,Bengaluru,PG,14-10-2024,October,Internship Cum PPO Offer,"Communication skills to be top-notch to handle situations confidently in front of a customer

-Strategic Thinking to identify and build long-term relationships toward customer success and in turn benefit the platform.

-Empathy and Patience towards customers, ability to pick up a phone and talk to the customer any time needed and do it repeatedly if needed to ensure the customer understands the benefit wherever possible.

-Problem-solving mindset to ensure that the customer problems are looked at from different perspectives to arrive at a solution.

-Technology Proficiency in understanding GenAI, Automation, and Social Media Integrations amongst other technical integrations to propose and discuss with customers is good to have.

-Creative and Technology Oriented to learn and understand what is new in the area of Generative AI, and how large businesses are adopting it. Onboarding: This involves creating a roadmap for client success with the product. Onboarding also sets the tone for the relationship and ensures the client feels supported from day one.

-Platform Training: This involves becoming a platform expert yourself to be able to objectively map and provide solutions to customer problems via the strengths of the platform.

-Building Client Relationships: This needs understanding client business models and aligning product value with their goals. It requires tailoring communication styles and strategies to meet the client's needs.

-Preventing Customer Churn: Identifying and addressing potential churn threats is crucial. It involves understanding the root cause of client dissatisfaction and developing effective solutions.

-Spotting More Opportunities: Recognizing opportunities for further business is a skill, and it requires a deep understanding of the client's evolving needs. Ensuring they know how additional products or services of the platform can benefit them is part of this.",2025
20,Untangle,Healthcare / Pharmaceutical,Psychology,M.Sc,School of Sciences,Care Team Executive,Bengaluru,PG,16-10-2024,October,Internship,"Anyone pursuing their masters degree in Psychology
Bachelors students, passionate about mental health may also apply.
Excellent communication skills - oral and written
Friendly and pleasant personality Manage the operations of the office
2. Welcome and greet clients who come for in-person therapy sessions.
3. Collect client feedback post-sessions.
4. Handle enquiry calls by new customers and help them book an appointment.
5. Understand clients' concerns and allocate them to the appropriate therapist.
6. Manage therapists calendar
7. Help with reschedule, cancellation and new appointment requests by clients.
8. Handle and diffuse customer complaints.
9. Any other work delegated by your supervisor",2025
21,Esaf Bank (Grampro Business Services),BFSI/NBFC,Any Specialization,B.Sc / M.Sc,School of Sciences,Executive Trainee (Senior Officer - B1 Grade),PAN INDIA,PG,21-10-2024,October,FULLTIME,"Maintain the highest standards of professional conduct, ethics, integrity, and control in execution of
Willingness to work in field/rural areas
Excellent written and oral communication skills
Good analytical skills
Integrity
Good sales & business acumen
Service orientation
Target orientation The primary responsibility is to support the bank by customer acquisition, establishing relationship with customers and deepening the relationship to enhance the business of the branch
Capitalise the existing market opportunities to meet the needs of the bank and ensure portfolio quality.
Enhancing sales by reaching out to existing customers and doing an upsell or a cross sell
Maintain regulatory compliance of the bank
Ensure that all activities are carried out as per the set Standard Operating Procedure of the bank daily operations.",2025
22,REConnect Energy Solutions Limited,Professional Services,,B.Sc / M.Sc,School of Sciences,1.Intern Product Management functional expert 2.UT Projects Intern 3.BD Intern,Bangalore,UG / PG,22-10-2024,October,Internship Cum PPO Offer,"●Strong verbal and written communication skills are essential.
Proﬁciency in Excel and other analytical tools for data analysis and reporting. ●Forecasting and Scheduling, and Environmental Markets including IRECs and Carbon Credits.
●Take ownership of new business development initiatives for the renewables sector.
●Develop a strategic roll-out plan for market expansion.
●Build and manage relationships with key Independent Power Producers (IPPs) and clients.
●Collaborate closely with regional Business Development (BD) teams across the country to drive growth.
●Oversee day-to-day business operations.
●Manage Customer Relationship Management (CRM) systems to ensure client satisfaction and efﬁcient operations.
●Conduct thorough market research to identify potential opportunities.
●Develop insights into market trends and competitor analysis to enhance business competency and value proposition.
",2025
23,Eagle Eye Networks,IT / ITES,Any Specialization,B.Sc,School of Sciences,Deal Desk Analyst,Bangalore,UG,22-10-2024,October,FULLTIME,"Proficiency with CRM systems (Zoho CRM experience is a plus).

Strong attention to detail, excellent data management, and organizational abilities.

Effective communication skills for coordinating across teams and regions.

Ability to manage time efficiently and work within a U.S. time zone.

  Data Entry and System Management (80%):
Accurately input and manage sales data in Zoho CRM and EE Admin systems.

Track deal flow, contracts, and sales activity while ensuring high data integrity.

Process orders and sales information in a timely and organized manner.

Sales Team Support (20%):
Serve as the primary point of contact for 6-9 assigned sales reps, assisting them with

data-related questions and internal processes.

Provide support by helping sales reps access the right tools, content, and contacts

for their deals.

Collaborate with various departments like finance, marketing, and customer success

to resolve sales issues or challenges.

System Mastery and Improvement:
Become an expert in the use of Zoho CRM and EE Admin to optimize sales

operations.

Continuously work on improving the process and system efficiency to better support

the sales organization.",2025
24,Express Analytics,IT / ITES,Data Science & Analytics,M.Sc,School of Sciences,Data Science Intern,Remote,PG,24-10-2024,October,Internship,"Final year student pursuing a degree in Computer Science, Data Science, Statistics, Mathematics, or related field.
Strong analytical and problem-solving skills.
Proficiency in programming languages such as Python, R, or Java.
Familiarity with data analysis tools and libraries (e.g., Pandas, NumPy, Scikit-learn).
Excellent communication and interpersonal skills.
Ability to work independently and in a team environment.
Demonstrated willingness to learn and explore different technologies as needed. Conduct data analysis and interpretation to derive actionable insights for clients.
Develop and implement machine learning models to solve business problems.
Collaborate with cross-functional teams to gather requirements and deliver solutions.
Assist in the development of data-driven dashboards and visualizations.
Research and evaluate new technologies and methodologies to enhance our analytics capabilities.
Participate in team meetings and contribute ideas to improve processes and workflows.
 ",2025
25,Ampcus cyber,IT / ITES,Forensic Science,B.Sc / M.Sc,School of Sciences,"Associate Consultant – Security Testing,Governance, Risk, and Compliance (GRC) Associate Consultant",Bengaluru,UG / PG,24-10-2024,October,FULLTIME,"⧫Bachelor’s degree in information security, Cybersecurity, Business Administration, or a related field.
⧫Understanding of risk management frameworks (e.g., ISO 27001, NIST, COBIT).
⧫Knowledge of standards (ISO 27001, GDPR, PCI DSS, etc.) and industry best practices.
⧫Strong analytical skills with the ability to identify and assess risks and make sound recommendations.
⧫Excellent communication and presentation skills to interact with stakeholders at all levels.
⧫Ability to manage multiple tasks and deadlines in a fast-paced environment.
⧫Relevant certifications (e.g., CISA, CISM, CRISC, ISO 27001 Lead Implementer) are a plus. ⧫Assist in the development, implementation, and management of GRC frameworks, policies, and procedures in alignment with industry standards and regulations.
⧫Support risk assessments by identifying, analyzing, and documenting risks across business processes, IT systems, and third-party relationships.
⧫Conduct internal audits and compliance checks to ensure adherence to regulatory requirements such as but not limited to PCI DSS, ISO 27001, GDPR, HIPAA, HITRUST etc.
⧫Assist with the evaluation of controls to mitigate risks, prepare reports, and make recommendations for improvement.
⧫Collaborate with teams to monitor and track compliance with legal, regulatory, and corporate policies.
⧫Assist in maintaining risk registers and ensure proper risk mitigation strategies are in place and followed.
⧫Provide support in preparing for audits and liaising with auditors to supply required documentation.
⧫Monitor emerging regulations and industry trends to identify new compliance requirements and risks.
⧫Help in training and awareness programs to educate internal teams on GRC processes and best practices.
⧫Work with cross-functional teams including IT, legal, and finance to align GRC efforts across the organization.",2025
26,Mindtribe,Manufacturing,,M.Sc,School of Sciences,Junior Psychologists,Remote ,UG,26-10-2024,October,FULLTIME, ,2025
27,National Institute of Mental Health and Neurosciences (NIMHANS),Healthcare / Pharmaceutical,Psychology,M.Sc,School of Sciences,"Suicide Prevention, Research, Implementation and Training Engagement",Bengaluru,PG,28-10-2024,October,FULLTIME,"● Expected skills and training- Familiarity with Research
methodologies, Qualitative research skills, Data collection
techniques, and Community engagement strategies
● Candidates should be comfortable using all basic computer
programs (Word, Excel, Powerpoint, etc.) and trained in data
analysis software such as NVivo/Atlasti
● Excellent (written and oral) communication skills in English
● Experience in networking, coordination, and liaising with diverse
stakeholders.
Fluency in Kannada and English language is essential ● Candidates with a Master degree in Public Health, Social Work,
Psychology, Anthropology, epidemiology or masters degree in
allied fields with at least two years of experience are welcome to
apply",2025
28,Parijma Neurodiagnostic and Rehabilitation Centre,Healthcare / Pharmaceutical,Psychology,M.Sc,School of Sciences,Psychologist,Bengaluru,PG,30-10-2024,October,FULLTIME," Provide effective individual, family and group psychotherapy
Determine realistic goals for psychotherapy
Perform psycho-diagnostic evaluations
Supervise staff, fellows and interns
Attend program development for patients treated or evaluated
Demonstrate an understanding of patient needs when devising and implementing treatment
Provide team consultation",2025
29,PlanetSpark,Ed-Tech,Psychology,M.Sc,School of Sciences,Counselor,Gurgaon,UG / PG,05-11-2024,November,Internship Cum PPO Offer,"Proficiency in English.
2. Strong understanding of marketing and negotiating techniques.
3. Quick learner with a passion for sales.
4. Self-motivated and results-driven.
5. Proven experience in sales or a related role is a plus.
6. Friendly, energetic personality with a customer service focus.
Criteria:
1. Willingness to work 5 days a week in a fast-paced startup environment.
2. Ready to work from the office and join immediately.
3. Week-off on (Tuesday and Wednesday).
4. Should have a personal laptop Proactively seek new sales opportunities through cold calling, networking, and social
media.
2. Engage with 65-70 leads daily.
3. Schedule meetings with potential clients (parents).
4. Pitch and generate trial classes to encourage parents to try PlanetSpark.
5. Negotiate, close deals, and handle client complaints or objections.
6. Achieve department sales goals on a weekly target revenue model.
7. ""Go the extra mile"" to drive sales and exceed targets.",2025
30,FriendsSquare,Professional Services,Psychology,M.Sc,School of Sciences,Social Media & Organizational Psychology Intern,Remote,PG,05-11-2024,November,Internship," FriendsSquare is hiring for the role of ""Social Media & Organizational Psychology Intern""

Are you passionate about psychology and creating engaging social media content? Were looking for someone whos ready to dive into workplace culture, assist with wellness programs, conduct surveys, and support our internal comms.

If you're a student or recent grad in Psychology, Organizational Behavior, or a related field this role is for you! We value creativity, collaboration, and a proactive approach.
",2025
31,BetterLYF,Healthcare / Pharmaceutical,Psychology,M.Sc,School of Sciences,Psychologist intern,Bangalore,PG,06-11-2024,November,Internship,"Excellent multitasking skills

Good time-management skills

Attention to detail

Great leadership skills

Passionate to work in mental health space

Evaluate mental and emotional disorders and provide counselling, psychotherapy and follow-up care to adults.

Formulate plans of treatment, and provide referral to other mental health professionals based on assessments.

Provide crisis intervention in situations requiring immediate psychological treatment.

Participate in educational programs, in-service meetings, clinician meetings, and workshops to enhance professional development.

Instruct and direct students serving psychological internships.

Develop and implement non clinical research programs and studies

Develop, manage and implement mental health projects in collaboration with other professionals.

Maintain a social and medical profile on the Internet and different social media platforms.

Attend and participate in peer supervision, and continuous learning.

Evaluate future potential psychologists that enter the ecosystem.

Consults with other therapists and related professional and paraprofessional staff in the performance of therapeutic & managerial roles and casework. As a Junior Counselling Psychologist, you will be responsible for providing counselling, psychotherapy and follow up care to individual adults along with formulating treatment plans and crisis intervention for them.

At betterlyf, we care! We strive to provide accessible mental healthcare for all. This vision comes to life through skilled and compassionate individuals like you.",2025
32,Federal Bank,BFSI/NBFC,,M.Sc,School of Sciences,Officer – Sales & Client Acquisition (Scale I),PAN INDIA,PG,06-11-2024,November,Internship Cum PPO Offer," ⧫Industry Research
oResearch & Mapping of the domains and corresponding organizations
oResearch on various technologies and preparing presentations and reports
⧫Client Management
oUnderstanding the client Organization, business and business processes.
oInteracting and building relationships with various stakeholders
oFulfilling the requirements shared by client
⧫Candidate Management
oAssessing candidates as per the requirements
oGuiding and building relationships with candidates
oUnderstanding Candidates aspiration and present them right opportunities
⧫End to End recruitment
oUnderstanding requirement
oSourcing and screening resumes
oBuilding your own network through headhunting
oCoordinating interviews
oHand holding offered candidates till they join

⧫Revenue generation
oGenerated revenue as per set target by placing candidates
oGenerating offers

⧫MIS


oMaking reports as a when required
",2025
33,MRSH EzlarCare,Healthcare / Pharmaceutical,Psychology,M.Sc,School of Sciences,Performance Psychologist (Sports related),Bangalore,PG,06-11-2024,November,Internship Cum PPO Offer,"Currently enrolled in or recent graduate of a Masters or Doctoral program in Clinical Psychology with 65%
Prior experience working with children in a clinical setting is preferred.
Strong understanding of child development and pediatric psychological disorders.
Excellent communication and interpersonal skills.
Ability to work collaboratively within a multidisciplinary team.
Empathy, patience, and a genuine passion for working with children and families. 1. Conduct Assessments:

Assist in conducting psychological assessments and evaluations of children.
Administer and score standardized tests and interpret results under supervision.
2. Provide Therapy:

Participate in individual and group therapy sessions for children with various psychological and developmental needs.
Implement evidence-based therapeutic interventions tailored to each childs needs.
3. Develop Treatment Plans:

Collaborate with the supervising psychologist to develop individualized treatment plans.
Monitor and document the progress of each child and make necessary adjustments to treatment plans.
4. Family Support:

Provide support and education to families, helping them understand their childs condition and treatment.
Assist in conducting family therapy sessions to address family dynamics and promote positive outcomes.
5. Collaborate with Multidisciplinary Team:

Work closely with other healthcare professionals, including pediatricians, occupational therapists, speech therapists, and educators.
Participate in team meetings and case conferences to discuss treatment plans and progress.
6. Documentation and Reporting:

Maintain accurate and timely documentation of assessments, therapy sessions, and progress notes.
Prepare reports and summaries for supervisors and other team members as required.
7. Professional Development:

Attend training sessions, workshops, and seminars to enhance knowledge and skills.
Participate in regular supervision sessions to receive feedback and guidance.",2025
34,Swiggy,E- Commerce,Data Science,M.Sc,School of Sciences,Data Scientist 1,Bangalore,PG,08-11-2024,November,FULLTIME,"Strong expertise in mathematics.
computer science.
machine learning.
deep learning.
statistical methods and passionate to drive business impact. As a DS1, you will play a crucial role in solving challenging problems for hyperlocal convenience via machine learning, deep learning, statistics, and optimization techniques.",2025
35,Amaha Mental Health Centre,Healthcare / Pharmaceutical,Psychology,M.Sc,School of Sciences,Psychologist,Bangalore,PG,09-11-2024,November,FULLTIME, ,2025
36,Emplay Inc,IT / ITES,Data Science & Analytics,M.Sc,School of Sciences,Associate Data Scientist,Bengaluru,PG,11-11-2024,November,Internship Cum PPO Offer, ,2025
37,Glaxosmithkline Plc,Healthcare / Pharmaceutical,Any Specialization,M.Sc,School of Sciences,BIOS Programming Intern,Bangalore,PG,12-11-2024,November,Internship,"Innovation, Problem Solving and Decision Making:-

Identifies and begins to interpret problems in data/ results and communicates them to supervisor/manager. Able to solve some aspects of discreet problems (with supervision)

Communication and Influence:-

Keeps manager/supervisor informed of progress and activities; escalates issues as appropriate

Presents concise summaries of own activities in group settings

Prepares brief oral or written summaries of assigned work with interpretation

Collaboration and Matrix-Working:-

Works effectively and collaboratively within own team
Demonstrates ability to learn from others

Leadership and People Development:-

Takes responsibility for timely completion of all assigned development task

Basic Education (indicative of entry level, not mandated for career progression):-

Has theoretical and practical knowledge typical of at least MSc in Programming and/or a combination of education and experience.

Accountability:- Single point accountabilities and decision-making for your individual role should be agreed with your manager and captured in your MyPlan and Workday. Learner in relevant programming languages
Completes programming activities under supervision
Reads and understands specifications to implement them in code
Develop good understanding of the role of a programmer to perform required activities
Develop good understanding of current programming best practices
Understands and applies a basic knowledge of GSK and industry standards
Follows technical / procedural documentation",2025
38,Navya Care Network Pvt Ltd,Healthcare / Pharmaceutical,Any Specialization,M.Sc,School of Sciences,Clinical Analyst,Bangalore,PG,12-11-2024,November,FULLTIME," Responsible for understanding and interpreting patient medical reports indexing
and annotating cases into the Navya databases, searching evidence and guidelines
appropriate for the patient's, sending case summaries to experts, interpreting expert
responses, taking leadership of cases, and turnaround times to patients.
Management of patients or their caregivers by addressing their clinical and non-clinical
concerns with the help of inbound/outbound calls or other modes of communication,
updating the status of their case, checking for new medical reports, and collecting feedback
from them.
Understand and interpret evidence/medical research, understand and interpret
international guidelines, and work on Navyas scientific research and abstract preparations.",2025
39,Indian Academy of Sciences,Professional Services,Any Specialization,B.Sc / M.Sc,School of Sciences,Research Fellowship Program,Bangalore,UG / PG,12-11-2024,November,FULLTIME, ,2025
40,St. John'S Research Institute,Healthcare / Pharmaceutical,Any Specialization,B.Sc / M.Sc,School of Sciences,Project Technical Support -II -ICMR Improving Glycemic Control Project,Bangalore,UG,15-11-2024,November,FULLTIME," Project coordination, data collection, qualitative interviewing, development of IEC materials and networking with local communities & health officials.
Patient recruitment, follow-up, communication and interaction.
Report the project activities being implemented to the core team regularly and creating regular reports to update investigative team, following and updating SOPs/Checklists/Protocols/etc.
Ensure the quality of data collected from the community and health facilities.
Assist in the evaluation of competencies of health care personnel and collection of data from the community,
Be prepared to do any other project-related activities as needed, and/or as per instructions of PI or CIs
Essential computer skills MS Office (Word/Excel/PPT), Referencing Software
Experience in health research, conducting in-depth interviews/FGDs/etc., creating IEC materials
Desirable Experience with non-communicable diseases, national health programmes, health policy, primary healthcare and experience in govt/public health sector",2025
